,tconst,startYear,runtimeMinutes,directors,writers,nconst,title,distributor,domestic_revenue,opening_revenue,opening_theaters,budget,mpaa,genres,release_date
2352,tt1314228,2009,103,nm0492909,nm0492909,"nm0607673,nm0000424,nm0000572,nm0000385,nm0005253,nm0492909,nm0323065,nm0787265,nm0788640,nm0050832",Did You Hear About the Morgans?,Sony Pictures Entertainment (SPE),"$29,580,087","$6,616,571","2,718","$58,000,000",PG-13,"Comedy,Drama,Romance","Dec 18, 2009"
2353,tt1315981,2009,99,nm1053530,"nm0410877,nm1053530,nm3179694","nm0919363,nm0000147,nm0000194,nm0328828,nm0396558,nm1053530,nm0410877,nm3179694,nm0583948,nm0007011",A Single Man,The Weinstein Company,"$9,176,000","$217,332",9,"$7,000,000",R,"Drama,Romance","Dec 11, 2009"
2354,tt1316616,2011,122,nm0423646,nm0423646,"nm0006339,nm1214435,nm0004747,nm0779084,nm0763928,nm0423646,nm0522160,nm3567920,nm3567418,nm0006077",There Be Dragons,The Samuel Goldwyn Company,"$1,069,334","$705,537",259,"$36,000,000",PG-13,"Biography,Drama,War","May 6, 2011"
2355,tt1318514,2011,105,nm1012501,"nm0415425,nm0798646,nm0099541","nm1249995,nm0290556,nm0785227,nm2951768,nm0465269,nm1012501,nm0415425,nm0798646,nm0099541,nm1858656",Rise of the Planet of the Apes,Twentieth Century Fox,"$176,760,185","$54,806,191","3,648","$93,000,000",PG-13,"Action,Drama,Sci-Fi,Thriller","Aug 5, 2011"
2356,tt1320253,2010,103,nm0000230,"nm1709264,nm0000230","nm0453808,nm0000230,nm0005458,nm0001472,nm0000185,nm1709264,nm0503592,nm0854772,nm0860315,nm0003911",The Expendables,Lionsgate,"$103,068,524","$34,825,135","3,270","$80,000,000",R,"Action,Adventure,Thriller","Aug 13, 2010"
2357,tt1320244,2010,87,nm0821844,"nm1428204,nm0348640","nm0628080,nm0264579,nm0068042,nm0052754,nm0381043,nm0821844,nm1428204,nm0348640,nm0008953,nm0088536",The Last Exorcism,Lionsgate,"$41,034,350","$20,366,613","2,874","$1,800,000",PG-13,"Horror,Mystery,Thriller","Aug 27, 2010"
2358,tt1320261,2010,85,nm1224299,"nm0830294,nm0831557,nm0842605","nm0329084,nm0085312,nm1289434,nm0781981,nm0001605,nm1224299,nm0830294,nm0831557,nm0842605,nm0204862",Gulliver's Travels,Twentieth Century Fox,"$42,779,261","$6,307,691","2,546","$112,000,000",PG,"Adventure,Comedy,Family,Fantasy","Dec 25, 2010"
2359,tt1321509,2010,92,nm0001438,nm1918877,"nm0821721,nm0001674,nm0001454,nm0202966,nm0222643,nm0001438,nm1918877,nm0394564,nm0454004,nm0539803",Death at a Funeral,Screen Gems,"$42,739,347","$16,217,540","2,459","$21,000,000",R,Comedy,"Apr 16, 2010"
2360,tt1321511,2013,104,nm0000490,"nm1628380,nm2057405,nm0698873","nm0498175,nm0000982,nm0647634,nm0000168,nm1663205,nm0000490,nm1628380,nm2057405,nm0698873,nm0205713",Oldboy,FilmDistrict,"$2,193,658","$885,382",583,"$30,000,000",R,"Action,Drama,Mystery,Thriller","Nov 27, 2013"
2361,tt1321860,2011,91,nm0000149,nm3189831,"nm0091686,nm0000154,nm0000149,nm0947338,nm0427728,nm3189831,nm0326512,nm2166024,nm0747742,nm0953616",The Beaver,Summit Entertainment,"$970,816","$107,577",22,"$21,000,000",PG-13,Drama,"May 6, 2011"
