,director,sum_power,wciar_power
634,nm0316496,4203626.626805349,5203.837711528493
635,nm0316795,38144.55937744329,3276.592700928983
636,nm1164861,129773758.73544234,20257356.772594716
637,nm1041597,18588935.244144723,3002888.0449457206
638,nm1823216,38144.55937744329,3276.592700928983
639,nm0418659,38144.55937744329,3276.592700928983
640,nm1823227,38144.55937744329,3276.592700928983
641,nm0318795,22623558.65218663,43760.326697911034
642,nm0318916,20583131.812154144,3386233.7401130106
643,nm0318947,46680.102762430935,672.7311789008021
644,nm0319659,11568687.76578028,2439271.5558059514
645,nm0319680,9743.657504456327,71.89550253063423
646,nm0320660,75627.50323170732,446.4259830556636
647,nm0322144,220299.82557841277,46200.22198114196
648,nm0922903,220299.82557841277,46200.22198114196
649,nm0322242,1906458.5081650296,64687.169544644
650,nm0322515,5758077.023889283,8910.192621452195
651,nm0323239,93504262.18968087,21762794.830948986
652,nm0323795,1740426.4181403827,706.0008299547928
653,nm0325204,17209419.53849539,484402.0963801903
654,nm0325776,14227458.635672854,131225.14413577315
655,nm0089940,14227458.635672854,131225.14413577315
656,nm0326040,8130749.046592356,1705141.6624559257
657,nm0326360,4575216.136179776,486.5204299981651
658,nm0326837,1613349.141190702,660827.8082317117
659,nm0327064,8865412.770315422,81769.00024090259
660,nm0327273,60052467.096990354,4781162.033169343
661,nm0327944,1381513.5878015386,242646.6274749382
662,nm0329755,3469861.9547750717,372573.5904348393
663,nm0330140,36374756.336319014,615541.6266487914
664,nm0330687,9693611.197305989,1626318.0887722126
665,nm0331532,228554799.50918293,10045150.069746992
666,nm0334353,2446209.1588286967,3028.260262180659
667,nm0335138,101765.73694859268,8741.610240950893
668,nm0335337,29874749.69133472,840899.4473605126
669,nm0335666,10103024.995642964,355468.59066947264
670,nm0336486,7267.908833194646,499.4468919820887
671,nm0336620,329179987.2308399,83757381.68951806
672,nm0336695,32998730.48992738,12986242.198920323
673,nm0337157,11336.164680390033,204.21418812166073
674,nm0337773,179576485.53708145,92334643.7261461
675,nm0338381,10496490.119491236,121016.29181654753
676,nm0338576,15295479.998179562,7831285.759067938
677,nm0339004,64553363.89832139,6174179.7036671555
678,nm0339030,284982281.5420586,33394867.645224314
679,nm0339254,107644.78904485489,2423.945159153923
680,nm0340436,44030231.10270299,3488670.1116687506
681,nm0340958,11167229.643891573,1199072.1526859014
682,nm0343260,8811984.174545456,65020.96673976757
683,nm0344259,24152549.67602592,543867.0686049892
684,nm0107774,24152549.67602592,543867.0686049892
685,nm0344496,19227430.77305177,12305555.694753135
686,nm0346550,5247685.56020402,107568.76792563485
